文件名,反向传播显存峰值 (MB),max_memory_reserved (GB),策略后平均 epoch 时间 (s)
PEMS-SF8GB.log,9340.7,10.49609375,11.159513592720032
PEMS-SF10GB.log,11403.93,12.796875,8.679710477590561
PEMS-SF12GB.log,11612.35,15.126953125,12.92009139060974
PEMS-SF14GB.log,12383.7,15.28125,8.454950004816055
PEMS-SF16GB.log,13773.92,18.318359375,7.964022994041443
PEMS-SF18GB.log,14575.55,18.77734375,7.70402517914772
PEMS-SF20GB.log,15488.49,20.154296875,7.885614097118378
,,,
Algorithm: cricket_logs_monet,,,
Cricket8GB.log,6434.87,8.794921875,0.5045603811740875
Cricket10GB.log,6805.63,9.228515625,0.4782611131668091
Cricket12GB.log,7417.85,11.1015625,0.4687184393405914
Cricket14GB.log,8221.4,12.11328125,0.4375126957893371
Cricket16GB.log,9068.78,13.88671875,0.4104723632335663
Cricket18GB.log,9237.93,14.73046875,0.4093417823314667
Epilepsy1GB.log,,0.119140625,
Epilepsy2GB.log,,0.119140625,
Epilepsy4GB.log,,0.119140625,
Epilepsy8GB.log,,0.119140625,
Epilepsy12GB.log,,0.119140625,
Epilepsy16GB.log,,0.119140625,
Epilepsy20GB.log,,0.119140625,
EthanolConcentration1GB.log,,3.904296875,
EthanolConcentration2GB.log,,3.904296875,
EthanolConcentration3GB.log,3069.42,3.90625,
FaceDetection1GB.log,1363.39,1.576171875,18.46357747912407
FaceDetection2GB.log,2071.1,2.703125,16.118267327547073
FaceDetection3GB.log,2780.89,3.107421875,15.117144286632538
FaceDetection4GB.log,2780.89,3.107421875,15.487582385540009
FaceDetection5GB.log,2780.89,3.107421875,14.883845001459122
FaceDetection6GB.log,2780.89,3.107421875,15.268899857997894
FaultDetectionA1GB.log,751.41,1.056640625,3848.427863687277
FaultDetectionA2GB.log,,,
Heartbeat1GB.log,,4.37890625,
Heartbeat2GB.log,,4.37890625,
Heartbeat3GB.log,,4.37890625,
Heartbeat4GB.log,4340.68,4.6796875,3.5890465676784515
Heartbeat5GB.log,4768.99,5.228515625,2.683765470981598
Heartbeat6GB.log,5002.49,6.296875,2.305190861225128
Heartbeat7GB.log,4896.0,5.86328125,2.383406400680542
Heartbeat8GB.log,5545.92,7.029296875,2.581133782863617
Heartbeat12GB.log,8544.94,9.251953125,2.3448468446731567
Heartbeat16GB.log,8544.94,9.251953125,2.355302363634109
Heartbeat20GB.log,8544.94,9.251953125,2.3215012550354004
PEMS-SF6GB.log,,9.49609375,
PEMS-SF8GB.log,8955.88,9.498046875,9.236189126968384
PEMS-SF10GB.log,11018.4,13.16015625,8.71638971567154
PEMS-SF12GB.log,11612.35,15.12890625,8.340936124324799
PEMS-SF14GB.log,12240.71,16.78125,8.18621301651001
PEMS-SF16GB.log,13340.64,17.9609375,8.18954735994339
PEMS-SF18GB.log,13980.17,18.259765625,9.190765291452408
PEMS-SF20GB.log,19579.46,21.0703125,7.5587198138237
PenDigits1GB.log,,0.025390625,
PenDigits2GB.log,,0.025390625,
PenDigits3GB.log,,,
SelfRegulationSCP21GB.log,,3.95703125,
SelfRegulationSCP22GB.log,,3.95703125,
SelfRegulationSCP23GB.log,2859.68,3.95703125,2.157528519630432
SelfRegulationSCP24GB.log,,,
,,,
Algorithm: cricket_logs_mimose,,,
Cricket8GB.log,7151.76,9.23046875,0.4968346059322357
Cricket10GB.log,7822.83,10.0546875,0.4922490119934082
Cricket12GB.log,9467.47,12.072265625,0.4663476645946502
Cricket14GB.log,10395.49,13.0859375,0.4697717726230621
Cricket16GB.log,11386.91,13.98828125,0.4250319898128509
Cricket18GB.log,9237.93,14.73046875,0.4161247909069061
Epilepsy1GB.log,,0.119140625,
Epilepsy2GB.log,,0.119140625,
Epilepsy4GB.log,,0.119140625,
Epilepsy8GB.log,,0.119140625,
Epilepsy12GB.log,,0.119140625,
Epilepsy16GB.log,,0.119140625,
Epilepsy20GB.log,,0.119140625,
FaceDetection1GB.log,1061.31,1.244140625,23.973791003227237
FaceDetection2GB.log,2026.9,2.259765625,22.521043866872787
FaceDetection3GB.log,2780.89,3.107421875,19.62744688987732
FaceDetection4GB.log,2780.89,3.107421875,18.54815661907196
FaceDetection5GB.log,2780.89,3.107421875,19.01311218738556
FaceDetection6GB.log,2780.89,3.107421875,17.96248671412468
Heartbeat1GB.log,2022.32,4.380859375,3.422446072101593
Heartbeat2GB.log,2477.25,4.380859375,16.76822194457054
Heartbeat3GB.log,3031.61,4.3828125,2.5945374071598053
Heartbeat4GB.log,3338.01,4.876953125,16.482486248016357
Heartbeat5GB.log,4856.76,5.615234375,2.5019290447235107
Heartbeat6GB.log,5325.2,6.154296875,2.3546894192695618
Heartbeat7GB.log,6514.6,7.3515625,2.252273499965668
Heartbeat8GB.log,7185.85,7.880859375,2.471927374601364
Heartbeat12GB.log,8544.94,9.251953125,2.399584203958512
Heartbeat16GB.log,8544.94,9.251953125,2.345819801092148
Heartbeat20GB.log,8544.94,9.251953125,5.664960950613022
PEMS-SF6GB.log,6984.21,9.89453125,10.19386264681816
PEMS-SF8GB.log,7601.94,11.619140625,8.898307859897614
PEMS-SF10GB.log,10422.56,13.091796875,8.58346751332283
PEMS-SF12GB.log,11678.27,13.966796875,8.34259444475174
PEMS-SF14GB.log,13179.85,15.208984375,8.36873209476471
PEMS-SF16GB.log,14638.27,16.482421875,8.102371841669083
PEMS-SF18GB.log,16274.57,17.9609375,7.861715763807297
PEMS-SF20GB.log,19579.46,21.0703125,7.720318078994751
,,,
