文件名,反向传播显存峰值 (MB),max_memory_reserved (GB),max_memory_allocated (GB),策略后平均 epoch 时间 (s)
Algorithm: cricket_logs_checkmate,,,,
Cricketcheckmate_bs64_8GB.log,6611.16,8.46484375,6.651513576507568,0.4819723963737488
Cricketcheckmate_bs64_9GB.log,7097.4,8.8984375,7.338597774505615,0.47885164618492126
Cricketcheckmate_bs64_10GB.log,7109.93,8.466796875,7.487926006317139,0.4785877466201782
Cricketcheckmate_bs64_11GB.log,7808.89,11.1015625,8.477498531341553,0.45289722084999084
Cricketcheckmate_bs64_12GB.log,8591.52,12.1328125,9.675780773162842,0.438530296087265
DuckDuckGeesecheckmate_bs8_10GB.log,9821.47,11.888671875,9.705327987670898,5.288106590509415
DuckDuckGeesecheckmate_bs8_12GB.log,11751.39,13.333984375,11.821583271026611,5.129128843545914
DuckDuckGeesecheckmate_bs8_14GB.log,12896.94,13.982421875,13.175765991210938,4.923873573541641
DuckDuckGeesecheckmate_bs8_16GB.log,13259.31,18.55859375,14.29846715927124,4.759020239114761
DuckDuckGeesecheckmate_bs8_18GB.log,14469.3,17.4921875,16.187026977539062,4.616006702184677
MotorImagerycheckmate_bs2_7GB.log,,15.2421875,4.562768459320068,
MotorImagerycheckmate_bs2_8GB.log,,15.2421875,4.562768459320068,
MotorImagerycheckmate_bs2_9GB.log,10478.8,17.388671875,10.232911586761475,125.870664447546
MotorImagerycheckmate_bs2_10GB.log,11184.3,17.390625,11.033246040344238,124.18296346068382
MotorImagerycheckmate_bs2_11GB.log,12315.36,18.4609375,12.02678918838501,125.51852968335152
MotorImagerycheckmate_bs2_12GB.log,13158.61,18.4609375,12.85069751739502,122.69140881299973
MotorImagerycheckmate_bs2_13GB.log,12888.18,18.462890625,13.102921962738037,122.92608925700188
MotorImagerycheckmate_bs2_14GB.log,13272.09,17.388671875,12.961828231811523,121.79569819569588
MotorImagerycheckmate_bs2_15GB.log,13158.56,18.435546875,13.34991979598999,121.0982503592968
MotorImagerycheckmate_bs2_16GB.log,14124.21,20.609375,14.711464405059814,117.08484175801277
MotorImagerycheckmate_bs2_17GB.log,14374.4,19.533203125,14.037445068359375,119.7616553902626
MotorImagerycheckmate_bs2_18GB.log,15061.51,20.609375,15.628547191619873,115.19098231196404
MotorImagerycheckmate_bs2_19GB.log,15055.14,22.048828125,15.663482189178467,114.0533803999424
MotorImagerycheckmate_bs2_20GB.log,15660.71,21.357421875,15.903322696685791,113.44266459345818
MotorImagerycheckmate_bs2_21GB.log,15075.41,22.798828125,16.292038440704346,113.09278064966202
MotorImagerycheckmate_bs2_22GB.log,15776.9,21.52734375,16.97783899307251,111.70293480157852
MotorImagerycheckmate_bs2_23GB.log,16622.03,22.326171875,18.626397609710693,109.41610261797905
PEMS-SFcheckmate_bs32_10GB.log,10016.28,10.32421875,9.78011417388916,7.540971159934998
PEMS-SFcheckmate_bs32_12GB.log,11349.84,11.791015625,11.083823680877686,7.205380916595459
PEMS-SFcheckmate_bs32_14GB.log,12350.52,15.24609375,13.453359127044678,6.865811318159103
PEMS-SFcheckmate_bs32_16GB.log,13738.62,18.283203125,15.68730115890503,6.452318221330643
PEMS-SFcheckmate_bs32_18GB.log,14541.57,18.7421875,17.27037477493286,6.244163423776627
,,,,
Algorithm: cricket_logs_oursILP,,,,
CricketoursILP_bs64_8GB.log,7313.32,8.466796875,7.141674041748047,0.4677051603794098
CricketoursILP_bs64_9GB.log,7470.89,8.8984375,7.840892791748047,0.45857882499694824
CricketoursILP_bs64_10GB.log,7977.58,9.39453125,8.806281566619873,0.4500332772731781
CricketoursILP_bs64_11GB.log,8505.74,10.404296875,9.797403812408447,0.43993687629699707
CricketoursILP_bs64_12GB.log,9034.92,12.626953125,10.832711696624756,0.42420339584350586
DuckDuckGeeseoursILP_bs8_10GB.log,10335.94,13.333984375,10.092527866363525,5.212063908576965
